Sektor,Isletme_Adi,URL,Telefon,Durum,Linear,Notlar
Klinik & Estetik,Dr. Ferhat Hanıkoğlu,https://drferhathanikoglu.com.tr,+90 542 429 75 90,Lead,DEV-93,İlham: drdenizsahin.com
Klinik & Estetik,Esteticderm,https://esteticderm.com,+90 538 482 45 85,Lead,DEV-94,Eski tasarım
Mimarlık & İnşaat,Teknik Yapı,https://teknikyapi.com,444 10 08,Lead,DEV-98,Suadiye lüks konut ama eski site
Mimarlık & İnşaat,Bautt Architects,https://bauttarchitects.com.tr,-,Lead,DEV-99,"Projeler iyi, site kötü"
Mimarlık & İnşaat,Troyka,https://troyka.com.tr,+90 532 282 56 53,Lead,DEV-100,Sıradan tema
Mimarlık & İnşaat,Peyzaj Ofisi,https://peyzajofisi.com,+90 533 581 12 93,Lead,DEV-96,Çok eski tasarım
Mimarlık & İnşaat,Deniz Landscape,https://denizlandscape.com,+90 531 655 03 70,Lead,DEV-97,Potansiyeli harcanmış
VIP Turizm & Havacılık,Easy VIP Transfer,https://easyviptransfer.com,+90 530 567 39 91,In Progress,DEV-101,Acil redesign (Siyah/Altın)
VIP Turizm & Havacılık,Seven and Star,https://sevenandstar.com,-,Lead,DEV-102,Standart altı tasarım
VIP Turizm & Havacılık,Yagna Tourism,https://yagnatourism.com,+90 538 486 66 48,Lead,DEV-103,Tasarım zayıf
Düğün & Etkinlik,Boğaz Bahçe,https://bogazbahce.com,+90 532 667 96 61,Lead,DEV-104,"Mekan iyi, site kötü"
Düğün & Etkinlik,Duman Event,https://dumanevent.com,0532 133 13 33,Lead,DEV-105,Eski tasarım
Yat & Lüks Araç,Joy Tekne Turu,https://joytekneturu.com,0555 616 96 96,Lead,DEV-106,Amatör tasarım
Yat & Lüks Araç,Emperial Dream Cars,https://instagram.com/emperial.dreamcars/,-,Lead,DEV-107,Web sitesi yok!
İLHAM & REFERANS ARŞİVİ,Sanlorenzo Yachts,https://sanlorenzoyacht.com/en/,-,Referans,-,İtalyan lüks tasarım zirvesi.
İLHAM & REFERANS ARŞİVİ,VistaJet,https://vistajet.com/en/,-,Referans,-,"Yüksek kontrast, mat siyah fon."
İLHAM & REFERANS ARŞİVİ,Dr. Deniz Şahin,https://drdenizsahin.com,-,Referans,-,Ferah ve premium klinik tasarımı.
